PERMNO,SYMBOL,GVKEY,TimeOfFirstTrade
88860,ALGN,141384,2013-10-17 13:43:00
88949,SGEN,141460,2015-04-30 14:18:00
89014,COL,144066,2015-04-22 14:29:00
89204,AGP,145367,2011-10-27 13:03:00
89258,PRU,143356,2015-05-06 15:47:00
89301,GME,145049,2015-03-26 15:42:00
89900,SNX,156155,2015-03-31 15:54:00
89901,WLL,155393,2015-02-25 15:54:00
89952,CMP,157153,2015-04-27 15:46:00
89971,TPX,156861,2011-07-26 13:40:00
90178,ALNY,264265,2015-02-12 15:55:00
90352,DYN,25495,2015-05-06 14:24:00
90427,TXRH,160376,2015-02-23 15:24:00
90507,MIC,161120,2015-02-18 15:58:00
90657,PAY,162733,2014-12-15 15:36:00
90657,PAY,162733,2015-03-10 15:11:00
90664,DXCM,162887,2015-02-25 15:44:00
90756,OSK,11721,2015-04-27 15:29:00
90856,ATRC,163889,2015-02-23 15:58:00
90880,AMP,164708,2015-04-22 15:22:00
91032,TRAK,164422,2015-02-23 15:41:00
91416,HBI,175319,2015-01-29 14:38:00
91432,INWK,174541,2015-02-12 14:01:00
91498,EHTH,174389,2011-04-26 15:07:00
91498,EHTH,174389,2013-04-25 15:56:00
92257,VMW,178083,2011-04-19 14:56:00
92257,VMW,178083,2013-07-23 15:35:00
92257,VMW,178083,2013-10-21 15:49:00
92924,DGI,180029,2012-07-31 12:21:00
92924,DGI,180029,2013-05-07 14:29:00
92924,DGI,180029,2015-02-26 15:42:00
93079,ECHO,179957,2013-04-25 14:14:00
93095,CLD,180635,2015-02-17 15:35:00
93095,CLD,180635,2015-04-30 15:33:00
93223,TW,29887,2015-05-04 15:47:00
93246,GNRC,183736,2015-02-10 15:52:00
93323,MUSA,175087,2011-10-20 15:48:00
93323,MUSA,175087,2012-01-26 12:21:00
